#HELPS

-1 OLC EDIT~
&BSyntax: &WEDIT AREA [create/reset] [vnum]     - Area Creation and Repoping.
&BSyntax: &WEDIT ROOM ( [create] [vnum] )       - Room Creation and Editing.
&BSyntax: &WEDIT OBJ  [create] <vnum>           - Object Creation and Editing.
&BSyntax: &WEDIT MOB  [create] <vnum>           - Mobile Creation and Editing.
&BSyntax: &WASAVE  <world/area/changed/list>    - Save Editing to Disk.
&BSyntax: &WALIST                               - Listing of Areas.
&BSyntax: &WRESET  See Help Resets.             - Set Game Resets.
 
&RDefinition: &W[optional]  <required>  (combined arguments)
 
The above commands are used to expand the game world.  The original
code is based on was written by Surreality and installed in The Isles by Locke.
It was then converted to work with Envy by Jason Dinkel, and ported to ROM
by Hans Birkeland (Hugin).
 
Inside an editor, typing COMMANDS lists working commands and ? gives
help. AEDIT and REDIT default to the current area or room. EDIT ROOM RESET
resets the current room.  Most commands with no arguments display syntax.
&PSee also help: &WAEDIT REDIT MEDIT OEDIT
 
~
0 ALIST~
&BSyntax: &WALIST
 
This command gives you a listing of all the areas along with their
vnum assignments and the builder(s) assigned to editing them.
 
~
0 AEDIT~
&BSyntax: &Waedit            -Enters the editor for the current area.
&BSyntax: &Waedit <vnum>     -Enters the editor for the selected area.
 
 
The follow commands are available from within the &PAEDITOR&W:
 
&Gage <number>        &W- set the age of the area
&Gbuilder <player>    &W- toggle that builders access
&Gbuilder all         &W- allows all builders to edit area
&Gcommands            &W- prints a list of possible commands
&Gcreate              &W- create a brand new area and switch to it
&Gdone                &W- exits the area editor and returns to normal play
&Gfilename <filename> &W- change the file name for the area (be careful)
&Gname <name>         &W- change the 'AREAS' name of this area
&Greset               &W- resets the current area
&Gsecurity <rating>   &W- set the security rating for this area
&Gshow                &W- hitting return, or 'show' shows the area stats
&Gvnum <lower> <upper>&W- set the lower and upper vnum's
&Glvnum <lower>       &W- set the lower vnum
&Guvnum <upper>       &W- set the upper vnum
&G<flags>             &W- area flags, type ? AREA for a list
&Gpurge               &W- purges everything in current area
 
 
~
0 REDIT~
&BSyntax: &Wredit           -Enters the editor for the current room.
&BSyntax: &Wredit create    -Creates a new room using first available vnum
 
The following commands are available from within the &PREDITOR&W:
 
&Gcommands            &W- prints a list of possible commands
&Gcreate <vnum>       &W- creates a room with a certain vnum
&Gdesc                &W- edit description of room
&Gdone                &W- exists the room editor and returns to normal play
&Ged                  &W- type this command for additonal extra-description help
&Gformat              &W- format(wordwrap) the room description
&Gname <room title>   &W- changes the room title
&Gshow                &W- hitting return, or 'show' shows the room stats
&Goshow <vnum>        &W- shows an object with given vnum
&Golist               &W- lists objects in this area.
&Gmshow <vnum>        &W- shows a mobile with given vnum
&Gmlist               &W- lists mobiles in this area.
&G<room-flags>        &W- room attributes, type ? ROOM for a list
&G<sector>            &W- terrain of room, type ? SECTOR for a list
&G<direction>         &W- see help EXIT, or type <dir> ?
 
~
0 EXIT~
&WFor &Pexits&W, type the direction (north/s/e/w) followed by:
 
&Gdig <vnum>         &W- creates the room and makes a two way link
&Glink <room vnum>   &W- make a two way link
&Groom <room vnum>   &W- make a one way link (use with caution)
&Gkey <object vnum>  &W- makes specified object the vnum of the key required
&Gname <door name>   &W- makes the door's name/keywords = to the given name
&Gdesc               &W- edit the description of the exit
&Gdelete             &W- delete this exit
&G<exit-flags>       &W- type ? EXIT for a list(make exit door, locked etc.)
 
The exit flags are presented in the following manner.  The capitalized
flags are ones not included in the reset info.  i.e. closed is due to
a player closing the door and not due to the door being set to be closed.
 
&RExample:&W
-South to [ 3744] Key: [   -1] Exit flags: [door CLOSED bashed pickproof]
 
~
0 OEDIT~
&BSyntax: &Woedit create     -Creates first available vnum within that range
&BSyntax: &Woedit <vnum>     -Enters edit mode for the specified object
 
The following commands are available from within the &POEDITOR&W:
 
&Gaddaffect           &W- applies an affect to an object, no args for help
&Gdelaffect           &W- removes an affect to an object, no args for help
&Gcommands            &W- prints a list of possible commands
&Gcost gold <amount>  &W- sets gold value of object
&Gcost silver <amount>&W- sets silver value of object
&Gcost copper <amount>&W- sets copper value of object
&Gcreate <vnum>       &W- creates object with specified vnum
&Gdone                &W- exits the object editor and returns to normal play
&Ged                  &W- type this for info on adding/editing extended descripts
&Glong                &W- edit long description (the one in the room)
&Gname <keywords>     &W- sets the keywords on an object
&Gshort <desc>        &W- sets the 'name' of an object (a sword, a fish etc)
&Gshow                &W- hitting return, or 'show' shows the object stats
&Gv0 <num>            &W- sets the value '0' on the object
&Gv1 <num>            &W- sets the value '1' on the object
&Gv2 <num>            &W- sets the value '2' on the object
&Gv3 <num>            &W- sets the value '3' on the object
&Gv4 <num>            &W- sets the vlaue '4' on the objcet
&Gweight <num>        &W- sets the weight of the object in kg's
&Gtype                &W- type of object, type ? TYPE for a list
&Gextra               &W- attributes of object, type ? EXTRA for a list
&Gwear                &W- where object is worn, type ? WEAR for a list
&Gmaterial &R*N/A*      &W- material the object is made from
 
~
0 MEDIT~
&BSyntax: &Wmedit create    -Creates first available mob within area vnum range
&BSyntax: &Wmedit <vnum>    -Enters editor for specified mobile
 
The following commands are available from within the &PMEDITOR&W:
 
&Galignment <value>   &W- set the mobile's alignment
&Gcommands            &W- prints a list of possible commands
&Gcreate <vnum>       &W- creates mobile with specified vnum
&Gdesc                &W- edit the mobile's description (when looked at)
&Gdone                &W- exits the mobile editor and returns to normal play
&Glevel <level>       &W- set the mobile's level
&Glong                &W- edit long description (the one in the room)
&Gname <keywords>     &W- sets the keywords on an mobile
&Gshop                &W- type this command for further information
&Gshort <desc>        &W- sets the 'name' of an mobile (a sword, a fish etc)
&Gshow                &W- hitting return, or 'show' shows the mobile stats
&Gspec                &W- sets a mobiles spec proc, type ? SPEC for a list
&Gsex                 &W- set the mobile's sex, type ? SEX for a list
&Gact                 &W- mobiles actions, type ? ACT for a list
&Gaffect              &W- mobile affects, type ? AFFECT for a list
&Gac                  &W- set the mobile's ac, type ? AC for a list
&Gform &R*N/A*          &W- mobiles body-form, type ? FORM for a list
&Gpart &R*N/A*          &W- mobiles bodyparts, type ? PART for a list
&Gimm                 &W- mobile is immune to, type ? IMM for a list
&Gres &R*N/A*           &W- mobile is resistant to, type ? RES for a list
&Gvuln &R*N/A*          &W- mobile is vulnerable to, type ? VULN for a list
&Gmaterial &R*N/A*      &W- material mobile is made from, type ? MATERIAL for a list
&Goff &R*N/A*           &W- offensive behaviour, type ? OFF for a list
&Gsize &R*N/A*          &W- size, type ? SIZE for a list
&Ghitdice             &W- dice to toss to get mobile's hitpoints
&Gmanadice            &W- dice to toss to get mobile's mana
&Gdamdice             &W- dice to toss to get mobile's hand to hand damage
&Gdamtype             &W- type of damage done without a weapon
 
&PSee also help: &WHITDICE, MANADICE, DAMDICE, DAMTYPE
~
0 HITDICE~
&WA high number of dice makes for less &Pvariance &Win mobiles hitpoints.
Suggested values are:
 
&RLevel:     Dice        Min         Max        Mean
&G 1:&W       1d2+6       7(  7)     8(   8)     8(   8)
&G 2:&W       1d3+15     16( 15)    18(  18)    17(  17)
&G 3:&W       1d6+24     25( 24)    30(  30)    27(  27)
&G 5:&W      1d17+42     43( 42)    59(  59)    51(  51)
&G10:&W      3d22+96     99( 95)   162( 162)   131( 129)
&G15:&W      5d30+161   166(159)   311( 311)   239( 235)
&G30:&W     10d61+416   426(419)  1026(1026)   726( 723)
&G50:&W    10d169+920   930(923)  2610(2610)  1770(1767)
 
&PDiff = max - min&W.  Mean is the arithmetic mean.
The values in parenthesis are the the standard merc values.
 
~
0 MANADICE~
A high number of dice makes for less variance in mobiles mana.
The values the server generates for merc-type mobs is

  <level> d 10 + 100

where level is the level of the mobile.
~
0 DAMDICE~
A high number of dice makes for less variance in mobiles hitpoints.
Suggested values are:

       Level      dice       min      min    mean
        1         1d2+0       1        2       2
        2         1d2+1       2        3       3
        3         1d3+2       3        5       4
        5         2d3+2       4        8       6
       10         2d5+5       7       15      11
       15         3d5+8      11       23      17
       20         4d5+10     14       30      22
       30         5d6+15     20       45      33
       50         5d10+25    30       75      53

Mean is the arithmetic mean.  The values in parenthesis are the the
standard merc values.  (Will be put in when there's time to calculate
them...)
~
0 DAMTYPE~
The type of damage done by weaponless mobiles, These are your choices:

    Name:	    Type:	Name:  		Type:
    hit				slice		DAM_SLASH
    stab	    DAM_PIERCE	slash	 	DAM_SLASH
    whip	    DAM_SLASH	claw		DAM_SLASH
    blast	    DAM_BASH	pound		DAM_BASH
    crush	    DAM_BASH	grep		DAM_SLASH	
    bite	    DAM_PIERCE	pierce		DAM_PIERCE	
    suction	    DAM_BASH	beating		DAM_BASH	
    digestion	    DAM_ACID	charge		DAM_BASH	
    slap	    DAM_BASH	punch		DAM_BASH	
    wrath	    DAM_ENERGY	magic		DAM_ENERGY	
    divine power    DAM_HOLY	cleave		DAM_SLASH	
    scratch	    DAM_PIERCE	peck		DAM_PIERCE	
    chop	    DAM_SLASH   sting	    	DAM_PIERCE
    smash           DAM_BASH	shocking bite   DAM_LIGHTNING
    flaming bite    DAM_FIRE	freezing bite   DAM_COLD
    acidic bite	    DAM_ACID	chomp		DAM_PIERCE
~
0 RESETS~
Syntax: RESETS                -Shows current resets in room
Syntax: RED RESET             -Resets current room
Syntax: RESET # DELETE        -Deletes specified reset
 
Making new resets:
 
Syntax: Mreset <vnum> <max#>                -Resets specified mobile into room
Syntax: Oreset <vnum> <mobname> <wear-loc>  -Resets specified eq on last mobile
Syntax: Oreset <vnum> <max#>                -Resets specified object into room
Syntax: Oreset <vnum> <objname>             -Resets specified obj into container
 
**It is important when making new resets that they are done in the above
  order, over-looking steps that are not included.**
 
The &c#&w of the reset is the first value shown when typing RESETS.
The &cvnum&w is the number of the specified mobile/object.
The &cmax#&w is the maximum number of mobiles/objects to be loaded into the
room per reset (only include when there is more than one to be loaded)
 
When using the RESET # DELETE command, be sure to purge all specified mobiles/
objects in order to keep the MUD clean. Before using RED RESET, you must already
be in REDIT mode and likewise for making new resets.
~
0 ITEM_LIGHT~
.   value 0    unused
   value 1    unused
   value 2    hours of light available, 0 is dead, -1 or 999 is infinite            
   value 3    unused
   value 4    unused
~
0 ITEM_STAFF_WAND~
value 0    spell is casted at this level
   value 1    maximum charges
   value 2    current charges
   value 3    spell name
   value 4    unused


An up-to-date list of spells can be obtained by typing:
? SPELLS [ignore/attack/defend/self/object/all]
~
0 ITEM_SCROLL_POTION_PILL~
value 0    spell is effective at this level
   value 1    spell name 1
   value 2    spell name 2
   value 3    spell name 3
   value 4    unused

An up-to-date list of spells can be obtained by typing:
? SPELLS [ignore/attack/defend/self/object/all]
~
0 ITEM_ARMOR~
.   value 0    ac pierce
   value 1    ac bash
   value 2    ac slash
   value 3    ac exotic (magic)
   value 4    unused
~
0 ITEM_WEAPON~
value 0    weapon class &c*N/A*&w
   value 1    number of dice to roll &c*N/A*&w
   value 2    type of dice to roll &c*N/A*&w
   value 3    weapon hit-type
   value 4    special weapon type &c*N/A*&w

An up-to-date list of values can be obtained by typing
? WCLASS &c*N/A*&w
help WEAPON_DICE
? WEAPON
? WTYPE &c*N/A*&w
~
0 WEAPON_DICE~
These are the values the server generates automatically when
converting a merc-format mobile to ROM format.  A higher
number of dice gives less variance in damage.  There is no
dice-bonus on weapon dice.

      level:   dice 
        1:     1d8
        2:     2d5
        3:     2d5
        5:     2d6
       10:     4d5
       20:     5d5
       30:     5d7
       50:     5d11
~
